privacy_mode,epoch,mse
Nonprivate,0,14.412124040007575
Nonprivate,0,14.363595349963024
Nonprivate,1,9.39442669698832
Nonprivate,2,4.388817452643447
Nonprivate,3,2.722645880087143
Nonprivate,4,1.986089838003159
Nonprivate,5,1.6063043387984854
Nonprivate,6,1.3935637509380234
Nonprivate,7,1.2650099750326673
Nonprivate,8,1.182216801936787
Nonprivate,9,1.1274777431130008
Nonprivate,10,1.0882693272996855
Nonprivate,11,1.0616940285139742
Nonprivate,12,1.0415371746380182
Nonprivate,13,1.0274249436144107
Nonprivate,14,1.0136172598159994
Nonprivate,15,1.0041441714834787
Nonprivate,16,0.9941497555289047
Nonprivate,17,0.9876331706762248
Nonprivate,18,0.9794825573118721
Nonprivate,19,0.9740397882477851
Nonprivate,20,0.967663629624698
Nonprivate,21,0.9637193343979962
Nonprivate,22,0.9589797361971996
Nonprivate,23,0.9524070396277281
Nonprivate,24,0.9473812102186626
Nonprivate,25,0.944811063372555
Nonprivate,26,0.9405463100554515
Nonprivate,27,0.9383104212556298
Nonprivate,28,0.9335296011739821
Nonprivate,29,0.9301198796478549
Nonprivate,30,0.9253848338843987
Nonprivate,31,0.9225065435447308
Nonprivate,32,0.9194724201569561
Nonprivate,33,0.9159706700684946
Nonprivate,34,0.9132282194850398
Nonprivate,35,0.9100835585882748
Nonprivate,36,0.907042489211945
Nonprivate,37,0.9042622883114912
Nonprivate,38,0.9015438818980936
Nonprivate,39,0.900329369541763
Nonprivate,40,0.8978019577321431
Nonprivate,41,0.8946223325106438
Nonprivate,42,0.8933875666964222
Nonprivate,43,0.8922253181773732
Nonprivate,44,0.889508862980309
Nonprivate,45,0.889224825602214
Nonprivate,46,0.88639982766683
Nonprivate,47,0.8846695816081132
Nonprivate,48,0.8833493669693342
Nonprivate,49,0.8817104399475805
Nonprivate,50,0.8795997894194125
Nonprivate,51,0.8777630180641632
Nonprivate,52,0.8762750413743756
Nonprivate,53,0.8767031674468695
Private,0,11.978192835622457
Private,1,16.235189390731637
Private,2,19.53414283545085
Private,3,21.724544205862006
Private,4,24.602646233157966
Private,5,25.273796916470314
Private,6,26.43675248237357
Private,7,27.4924540457897
Private,8,26.31811755101743
Private,9,28.189678378754408
Private,10,29.770993283245353
Private,11,30.946720598331744
Private,12,32.15321960395341
Private,13,31.907887834205653
Private,14,32.53728280875857
Private,15,32.86135515469895
Private,16,33.690083429795386
Private,17,33.82525226446965
Private,18,36.18168676512733
Private,19,34.39515072343092
Private,20,35.30961594229391
Private,21,35.75862917205206
Private,22,35.74649770141105
Private,23,35.14313022355058
Private,24,34.32866681253423
Private,25,35.68377934016878
Private,26,35.85843023926721
Private,27,36.47721882371366
Private,28,36.136534158131695
Private,29,36.216319367995176
Private,30,36.728006411926614
Private,31,36.92732001055233
Private,32,37.38283993839054
Private,33,36.7479527788432
Private,34,37.06374137627029
Private,35,36.52686588162773
Private,36,37.06532954002744
Private,37,38.740138378211746
Private,38,36.842940339534046
Private,39,37.99164920261938
Private,40,37.8203966208148
Private,41,38.741060988457825
Private,42,37.73592793007426
Private,43,36.723268069878536
Private,44,37.14289902555047
Private,45,37.225569722629494
Private,46,37.23964487645211
Private,47,36.57736533094819
Private,48,37.025827015030536
Private,49,37.844125412724516
Private,50,38.85833360377578
Private,51,38.69528720210105
Private,52,38.42436725465223
Private,53,38.655472401991695
