privacy_mode,epoch,mse
Nonprivate,0,14.410668838145053
Nonprivate,0,14.410046523059652
Nonprivate,1,14.404779026480034
Nonprivate,2,14.363874459602549
Nonprivate,3,14.089974067350564
Nonprivate,4,13.150058731623394
Nonprivate,5,12.01971165020458
Nonprivate,6,11.18116346269692
Nonprivate,7,10.580548457027527
Nonprivate,8,10.140383881139197
Nonprivate,9,9.804367946165817
Nonprivate,10,9.544036019353122
Nonprivate,11,9.334012357917645
Nonprivate,12,9.165671935613203
Nonprivate,13,9.025508218145191
Nonprivate,14,8.914248055124546
Nonprivate,15,8.812204990496296
Nonprivate,16,8.727874196234263
Nonprivate,17,8.660571709283143
Nonprivate,18,8.597092695390238
Nonprivate,19,8.546631307171074
Nonprivate,20,8.499627853138886
Nonprivate,21,8.458794972963341
Nonprivate,22,8.423738535015396
Nonprivate,23,8.389546477280943
Nonprivate,24,8.36234473632103
Nonprivate,25,8.334953068829526
Nonprivate,26,8.318562258215422
Nonprivate,27,8.298181372557083
Nonprivate,28,8.279440462928157
Nonprivate,29,8.268235257302551
Nonprivate,30,8.250998947743081
Nonprivate,31,8.234662854337031
Nonprivate,32,8.220738653968306
Nonprivate,33,8.216261307608502
Nonprivate,34,8.204617114949006
Nonprivate,35,8.194856262030417
Nonprivate,36,8.187727529301752
Nonprivate,37,8.182901294725605
Nonprivate,38,8.173404494162893
Nonprivate,39,8.170001831256553
Nonprivate,40,8.165375297729845
Nonprivate,41,8.158743787129483
Nonprivate,42,8.151580763519458
Nonprivate,43,8.145779797748716
Nonprivate,44,8.143452814841313
Nonprivate,45,8.140138817604571
Nonprivate,46,8.136952824366922
Nonprivate,47,8.128438799526153
Nonprivate,48,8.130041197355416
Nonprivate,49,8.13027021836731
Nonprivate,50,8.125501587906728
Nonprivate,51,8.121394764386945
Nonprivate,52,8.122206496850385
Nonprivate,53,8.12150709348282
Private,0,8.396047079651119
Private,1,8.650717657770114
Private,2,8.642138790783376
Private,3,8.586532696743284
Private,4,8.75511740119304
Private,5,9.000783384121975
Private,6,8.765051477092085
Private,7,9.171267295000762
Private,8,9.008732679633734
Private,9,9.028768610683176
Private,10,9.316682002300128
Private,11,9.054432637239017
Private,12,9.146640261981673
Private,13,9.061070014734156
Private,14,9.214172786287017
Private,15,9.224316181285557
Private,16,9.311113238659692
Private,17,9.490618576719656
Private,18,9.458881677501703
Private,19,9.363512574423504
Private,20,9.539503512533608
Private,21,9.548656025186332
Private,22,9.562595509243346
Private,23,9.542706676987226
Private,24,9.559569183795512
Private,25,9.74764062847044
Private,26,9.786998505755843
Private,27,9.846739534367316
Private,28,9.623969906939298
Private,29,9.477343009603203
Private,30,9.54806921703581
Private,31,9.590393190318691
Private,32,9.778651931678517
Private,33,9.575395632603387
Private,34,9.442044413169219
Private,35,9.607662593907161
Private,36,9.589595722079332
Private,37,9.718486667359453
Private,38,9.586252041733209
Private,39,9.794926258516034
Private,40,9.67625346834987
Private,41,9.618122162938919
Private,42,9.541052869621378
Private,43,9.557952500383102
Private,44,9.665520315259586
Private,45,9.523912995167995
Private,46,9.638668943575073
Private,47,9.696866254585053
Private,48,9.811766462310596
Private,49,9.573598304175258
Private,50,9.516635336112993
Private,51,9.688104236490586
Private,52,9.5873928406891
Private,53,9.650526917449701
