privacy_mode,epoch,mse
Nonprivate,0,14.4077087941205
Nonprivate,0,14.382569216097082
Nonprivate,1,10.402827185958719
Nonprivate,2,4.6814611723367365
Nonprivate,3,2.829578358847928
Nonprivate,4,2.0344278691150763
Nonprivate,5,1.6317441774725014
Nonprivate,6,1.405833433720607
Nonprivate,7,1.2705748805359265
Nonprivate,8,1.1845392301583202
Nonprivate,9,1.1269336159982786
Nonprivate,10,1.087248702699813
Nonprivate,11,1.057257743997045
Nonprivate,12,1.0364243503397046
Nonprivate,13,1.0175265190426306
Nonprivate,14,1.0031886300377437
Nonprivate,15,0.9910766996887408
Nonprivate,16,0.9810378886460163
Nonprivate,17,0.9727851108414355
Nonprivate,18,0.965424816456688
Nonprivate,19,0.9576802862759392
Nonprivate,20,0.9534530920565882
Nonprivate,21,0.9472709589463775
Nonprivate,22,0.9432869714185969
Nonprivate,23,0.9380373504565753
Nonprivate,24,0.9329527125145075
Nonprivate,25,0.9283576842516812
Nonprivate,26,0.9246404474420633
Nonprivate,27,0.920329095027804
Nonprivate,28,0.9180431259641703
Nonprivate,29,0.9126037934468016
Nonprivate,30,0.9098152360027911
Nonprivate,31,0.9069338970516008
Nonprivate,32,0.9046772799722184
Nonprivate,33,0.901442676200662
Nonprivate,34,0.8981912434319845
Nonprivate,35,0.8962163090166909
Nonprivate,36,0.8952026659263792
Nonprivate,37,0.8915504186637653
Nonprivate,38,0.8902129238248552
Nonprivate,39,0.8880561346941448
Nonprivate,40,0.8860534130372772
Nonprivate,41,0.8848087357133662
Nonprivate,42,0.8824671057220514
Nonprivate,43,0.8817871565640018
Nonprivate,44,0.8810441231480122
Nonprivate,45,0.8796014845429349
Nonprivate,46,0.8764527929592536
Nonprivate,47,0.875532504064652
Nonprivate,48,0.8750706789874063
Nonprivate,49,0.8739403948156687
Nonprivate,50,0.8714305000504988
Nonprivate,51,0.870754256555991
Nonprivate,52,0.8683849249142499
Nonprivate,53,0.8695812215598143
Private,0,12.396292348432919
Private,1,16.406615395232592
Private,2,20.566077826916423
Private,3,21.89749264885703
Private,4,23.705425430676684
Private,5,26.05790005908761
Private,6,26.198640289870674
Private,7,26.87364717480164
Private,8,27.28596370807902
Private,9,28.630467824148823
Private,10,28.485374590094175
Private,11,30.11015554088499
Private,12,31.760254794046723
Private,13,31.466552751908633
Private,14,31.16194614183774
Private,15,32.036737903777
Private,16,31.85351402553987
Private,17,32.62021877370517
Private,18,32.90618100532959
Private,19,34.10668228741568
Private,20,33.269707195610735
Private,21,33.918296477729854
Private,22,34.39470454611256
Private,23,34.87355763800817
Private,24,36.76586730839014
Private,25,35.91027467623459
Private,26,35.729771118898746
Private,27,34.71011377567295
Private,28,33.67139535811958
Private,29,33.96688228957129
Private,30,33.75339004293484
Private,31,33.34940643471472
Private,32,35.384081000648955
Private,33,35.79141460101094
Private,34,35.953287205416004
Private,35,37.0174980321779
Private,36,37.17442845900264
Private,37,36.4146989235465
Private,38,36.76272918868571
Private,39,36.0712992355337
Private,40,37.869385976963414
Private,41,37.020951785026035
Private,42,36.79291050222509
Private,43,38.63833233081499
Private,44,36.83685043010076
Private,45,37.269508675403316
Private,46,37.02008756166199
Private,47,38.13423016994519
Private,48,38.31810419076881
Private,49,39.06187192839395
Private,50,37.33134272007615
Private,51,38.7892532605725
Private,52,37.16782199044165
Private,53,38.10429771035735
