epoch,train_mse,test_mse
167,1.5385,7.1126
168,1.5385,7.1432
169,1.5393,7.1206
170,1.54,7.1358
171,1.5343,6.9633
172,1.5307,7.0179
173,1.534,7.0565
174,1.536,7.1036
175,1.538,7.1272
176,1.5372,7.0451
177,1.5351,7.0397
178,1.5369,7.0663
179,1.5393,7.1034
180,1.5414,7.1382
181,1.5415,7.1419
182,1.5409,7.1288
183,1.5393,7.1149
184,1.538,7.0745
185,1.5374,7.1091
186,1.5339,7.0715
187,1.5317,6.9997
188,1.5305,7.0051
189,1.5314,7.0053
190,1.5329,7.0043
191,1.5335,7.0413
192,1.5317,6.999
193,1.5311,7.0284
194,1.5327,7.0235
195,1.5349,7.0611
196,1.5377,7.0995
197,1.54,7.1446
198,1.537,7.0496
199,1.5364,7.0735
200,1.5369,7.0522
201,1.5364,7.0765
202,1.5355,7.0659
203,1.5368,7.1076
204,1.5363,7.0591
205,1.5368,7.0552
206,1.538,7.0786
207,1.537,7.0441
208,1.5364,7.0793
209,1.5355,7.0088
210,1.5348,7.0521
211,1.5356,7.0209
212,1.5378,7.0674
213,1.539,7.0706
214,1.5386,7.09
215,1.5389,7.1233
216,1.5393,7.1271
217,1.5343,7.0243
218,1.5309,7.0073
219,1.532,7.0206
220,1.5333,7.0783
221,1.5339,7.0878
222,1.5344,7.1143
223,1.5355,7.1334
224,1.5296,7.0302
225,1.5282,7.0637
226,1.5322,7.0994
227,1.5317,7.0284
228,1.532,7.0811
229,1.5357,7.0879
230,1.5381,7.1286
231,1.5394,7.1387
232,1.5411,7.1786
233,1.5402,7.1538
234,1.539,7.1419
235,1.5391,7.1203
236,1.5375,7.145
237,1.5349,7.0329
238,1.5308,7.0464
239,1.5341,7.0616
240,1.5375,7.1007
241,1.5398,7.1419
242,1.5381,7.1092
243,1.5353,7.0833
244,1.5341,7.084
245,1.5348,7.1325
246,1.5355,7.1322
247,1.5369,7.1665
248,1.538,7.1508
249,1.5402,7.1989
250,1.5399,7.1741
251,1.5394,7.1743
252,1.5387,7.1441
253,1.5331,7.0462
254,1.5315,7.0096
255,1.5335,7.0148
256,1.5318,7.0185
