epoch,train_mse,test_mse
1,1.5112,6.7772
2,1.5931,6.5373
3,1.7634,6.5531
4,1.7177,6.959
5,1.624,6.775
6,1.5847,6.9574
7,1.5543,6.7341
8,1.6417,6.6605
9,1.6753,6.745
10,1.8766,6.3271
11,1.9266,6.5574
12,1.7764,6.7982
13,1.674,6.8407
14,1.7387,6.4496
15,1.7788,6.5525
16,1.7801,6.5254
17,1.7593,6.6507
18,1.7001,6.6611
19,1.7969,6.514
20,1.9067,6.498
21,2.0464,6.3611
22,2.0012,6.5113
23,1.8703,6.675
24,1.7665,7.0012
25,1.7664,6.4846
26,1.7574,6.7256
27,1.7425,6.548
28,1.7089,6.9509
29,1.6692,6.7185
30,1.856,6.5091
31,1.9219,6.5058
32,1.957,6.4551
33,1.905,6.6226
34,1.7889,6.6868
35,1.8032,6.5212
36,1.8474,6.5556
37,1.7625,6.7865
38,1.7182,6.6841
39,1.7439,6.6274
40,1.705,6.9269
41,1.6424,7.0579
42,1.6049,6.9908
43,1.5862,6.8722
44,1.6137,6.7298
45,1.6052,6.9245
46,1.6757,6.5869
47,1.7002,6.6671
48,1.6573,6.7595
49,1.6679,6.6204
50,1.7321,6.5701
51,1.7021,6.9069
52,1.6494,6.7403
53,1.6347,6.8418
54,1.6023,6.948
55,1.5759,7.1708
56,1.616,6.5323
57,1.6195,6.9958
58,1.7738,6.4114
59,1.8193,6.7467
60,1.8082,6.5511
61,1.882,6.5569
62,1.824,6.6662
63,1.6999,6.9227
64,1.6403,7.0429
65,1.6652,6.6337
66,1.9424,6.363
67,2.067,6.3126
68,1.9349,6.5148
69,1.8484,6.5777
70,1.8487,6.6081
71,1.8739,6.4885
72,1.8135,6.7261
73,1.744,6.6685
74,1.7012,6.6746
75,1.7318,6.557
76,1.7192,6.8698
77,1.6758,6.6504
78,1.6518,6.7308
79,1.6288,6.7344
80,1.7133,6.5101
81,1.7115,6.6549
82,1.641,6.8199
83,1.623,6.646
84,1.6452,6.6443
85,1.6548,6.7241
86,1.6533,6.776
87,1.6246,7.0666
88,1.6324,6.6253
89,1.6521,6.7298
90,1.6134,7.0002
91,1.6103,6.6726
92,1.7393,6.4781
93,1.7499,6.5989
94,1.6837,6.7648
95,1.6334,6.8268
96,1.5938,7.0027
97,1.5954,6.6619
98,1.7606,6.4243
