epoch,train_mse,test_mse
1,1.5401,7.2526
2,1.4852,7.0696
3,1.4868,6.6328
4,1.5038,6.8518
5,1.5041,6.6082
6,1.5145,6.7628
7,1.4973,6.9584
8,1.4916,6.7133
9,1.4991,6.6777
10,1.5213,6.6062
11,1.5277,6.7474
12,1.5109,6.8194
13,1.5088,6.669
14,1.5196,6.7176
15,1.518,6.8192
16,1.5444,6.5761
17,1.5504,6.7479
18,1.5396,6.6273
19,1.539,6.6798
20,1.5336,6.7608
21,1.5232,6.8431
22,1.5128,6.8747
23,1.5298,6.5583
24,1.5517,6.6873
25,1.5287,6.793
26,1.5143,6.7672
27,1.5061,6.7585
28,1.5194,6.5697
29,1.5552,6.6621
30,1.5428,6.7962
31,1.5379,6.5587
32,1.533,6.7332
33,1.5168,6.9198
34,1.5085,6.605
35,1.5245,6.6368
36,1.5372,6.6289
37,1.566,6.4898
38,1.6265,6.4414
39,1.6091,6.6907
40,1.5673,6.8012
41,1.5967,6.5662
42,1.6305,6.6255
43,1.6095,6.6757
44,1.6456,6.4763
45,1.6479,6.7227
46,1.5987,6.7708
47,1.5768,6.7949
48,1.5646,6.8339
49,1.5609,6.61
50,1.5637,6.7399
51,1.5556,6.6571
52,1.5585,6.6292
53,1.5468,6.8083
54,1.5312,6.9628
55,1.5176,6.6919
56,1.5311,6.607
57,1.5557,6.7011
58,1.549,6.8819
59,1.5317,6.9851
60,1.5251,6.6972
61,1.5297,6.8471
62,1.5205,6.843
63,1.5076,6.8245
64,1.5033,6.7536
65,1.5037,6.9115
66,1.4944,6.8369
67,1.4886,6.8584
68,1.4944,6.7107
69,1.4933,6.9343
70,1.4868,6.824
71,1.4969,6.6156
72,1.5054,6.8456
73,1.4953,6.7047
74,1.5152,6.5927
75,1.6162,6.5735
76,1.6533,6.6574
77,1.6066,6.8029
78,1.5848,6.6788
79,1.5931,6.5392
80,1.5932,6.627
81,1.5794,6.7224
82,1.6249,6.5651
83,1.6441,6.7114
84,1.5951,6.7945
85,1.5658,6.8909
86,1.5516,6.7507
87,1.5584,6.6674
88,1.5787,6.7191
89,1.5872,6.7347
90,1.5895,6.6908
91,1.6099,6.6206
92,1.6055,6.7748
93,1.5838,6.6752
94,1.5903,6.7519
95,1.5808,6.8424
96,1.5607,6.8628
97,1.5455,7.0688
98,1.5317,6.9567
99,1.5196,6.9477
100,1.5159,6.6487
101,1.5245,6.7245
102,1.5173,6.873
103,1.514,6.6945
104,1.5226,6.8595
105,1.5141,6.8616
106,1.5125,6.8515
107,1.5623,6.6111
108,1.5774,6.8505
109,1.5429,6.8363
110,1.5305,6.801
111,1.5331,6.8269
112,1.5289,7.0084
113,1.526,6.77
114,1.5312,6.8064
115,1.5274,6.7997
116,1.5195,7.023
117,1.522,6.7675
118,1.5283,6.9313
119,1.5322,6.607
120,1.5415,6.8512
121,1.5211,6.8726
122,1.5165,6.8383
123,1.5204,6.969
124,1.5098,6.8442
125,1.5083,7.0121
126,1.5263,6.6378
127,1.5538,6.779
128,1.5333,6.8806
129,1.5195,6.9177
130,1.5121,6.9985
131,1.5359,6.5823
132,1.6287,6.447
133,1.6344,6.6739
134,1.6053,6.5672
135,1.5833,6.721
136,1.5559,6.8645
137,1.5389,6.8307
138,1.5448,6.656
139,1.5643,6.6393
140,1.5539,6.6975
141,1.5386,6.9079
142,1.5484,6.6163
143,1.5562,6.8252
144,1.5374,6.9337
145,1.5475,6.6057
146,1.5563,6.7191
147,1.5485,6.7298
148,1.5687,6.5475
149,1.5761,6.7004
150,1.5498,6.8309
151,1.5349,6.9563
152,1.5256,6.7766
153,1.5266,6.8719
154,1.5263,6.6789
155,1.5309,6.6914
156,1.5264,6.7609
157,1.5378,6.6481
158,1.5477,6.8582
159,1.5326,6.8641
160,1.527,6.765
161,1.5303,6.7784
162,1.5347,6.7904
163,1.533,6.8367
164,1.5253,6.9862
165,1.5147,6.8545
166,1.5085,6.847
167,1.5134,6.7387
168,1.5143,6.9314
