epoch,train_mse,test_mse
169,1.5079,7.0094
170,1.4997,6.7854
171,1.496,6.9138
172,1.5117,6.6056
173,1.5265,6.7323
174,1.5516,6.6511
175,1.583,6.6864
176,1.5654,6.8777
177,1.5417,6.7237
178,1.5411,6.6283
179,1.5422,6.7274
180,1.5282,6.8255
181,1.5196,7.0098
182,1.5552,6.5577
183,1.6124,6.5483
184,1.5788,6.7538
185,1.5475,6.77
186,1.5992,6.4262
187,1.6268,6.5446
188,1.5882,6.7023
189,1.5589,6.9287
190,1.5389,7.0403
191,1.5182,6.826
192,1.5097,6.8651
193,1.5051,6.7824
194,1.582,6.4371
195,1.6199,6.7008
196,1.5712,6.8676
197,1.5425,6.8312
198,1.5329,6.6957
199,1.5347,6.7443
200,1.5261,7.001
201,1.5151,6.8846
202,1.5082,6.9198
203,1.5043,6.9317
204,1.5006,6.8463
205,1.4992,6.8324
206,1.5319,6.7218
207,1.5615,6.7574
208,1.5364,6.8784
209,1.5164,6.9273
210,1.5362,6.6587
211,1.5476,6.9087
212,1.5362,6.6513
213,1.5354,6.8136
214,1.523,6.9491
215,1.5298,6.5521
216,1.5586,6.6897
217,1.5482,6.7797
218,1.5271,6.8662
219,1.5166,6.9104
220,1.5088,6.9729
221,1.4999,6.7706
222,1.526,6.6835
223,1.5748,6.6635
224,1.5799,6.7722
225,1.5564,6.7948
226,1.5427,6.8061
227,1.5332,6.7941
228,1.5312,6.731
229,1.523,7.0018
230,1.514,6.9756
231,1.5024,6.6789
232,1.5384,6.6125
233,1.5845,6.56
234,1.5687,6.7857
235,1.5631,6.6257
236,1.5753,6.7826
237,1.5566,6.8938
238,1.5362,6.9657
239,1.5256,6.7259
240,1.5273,6.9071
241,1.5161,6.8384
242,1.5128,6.7617
243,1.5224,6.6654
244,1.5334,6.6464
245,1.5568,6.6219
246,1.551,6.8633
247,1.5535,6.5367
248,1.5742,6.6563
249,1.5774,6.5938
250,1.5975,6.5955
251,1.6052,6.5754
252,1.5932,6.7703
253,1.6036,6.503
254,1.6867,6.511
255,1.6833,6.6808
256,1.6172,6.7604
