epoch,train_mse,test_mse
1,1.4886,7.257
2,1.4231,6.7374
3,1.4291,6.8114
4,1.4415,6.7385
5,1.467,6.6089
6,1.4913,6.6051
7,1.4812,6.8001
8,1.4615,6.7294
9,1.4549,6.8764
10,1.4506,6.7216
11,1.4481,6.8954
12,1.4455,6.6737
13,1.4761,6.4966
14,1.4855,6.6598
15,1.4887,6.5549
16,1.4811,6.8129
17,1.4601,6.8587
18,1.4528,6.9955
19,1.439,6.7841
20,1.4385,6.7171
21,1.4403,6.8716
22,1.4365,6.6257
23,1.4454,6.6194
24,1.471,6.6349
25,1.4854,6.676
26,1.4855,6.5925
27,1.4701,6.7652
28,1.4574,6.9238
29,1.4474,7.0809
30,1.4333,6.9106
31,1.426,6.7041
32,1.4454,6.7131
33,1.4557,6.732
34,1.4527,6.6159
35,1.4899,6.6002
36,1.4973,6.7391
37,1.4855,6.6937
38,1.4907,6.6805
39,1.4803,6.7338
40,1.4643,6.7531
41,1.4523,6.9447
42,1.4414,6.9567
43,1.4372,6.8056
44,1.493,6.4548
45,1.5176,6.6837
46,1.5042,6.6181
47,1.5056,6.6565
48,1.494,6.8205
49,1.4788,6.6857
50,1.5306,6.4739
51,1.5473,6.6834
52,1.5036,6.7995
53,1.4813,7.0062
54,1.4643,6.978
55,1.4586,6.667
56,1.4629,6.9275
57,1.4549,6.6514
58,1.4579,6.733
59,1.4736,6.6108
60,1.4727,6.8182
61,1.4552,6.9424
62,1.4467,6.8479
63,1.4379,6.7806
64,1.4533,6.5671
65,1.5048,6.5439
66,1.5207,6.7032
67,1.4868,6.8097
68,1.468,6.9424
69,1.4549,7.0409
70,1.4514,6.6632
71,1.4804,6.6634
72,1.5244,6.5892
73,1.5692,6.627
74,1.5473,6.7911
75,1.5041,6.9
76,1.4831,7.0012
77,1.5025,6.5752
78,1.5239,6.624
79,1.5206,6.6793
80,1.514,6.7191
81,1.5771,6.3489
82,1.5999,6.4882
83,1.5678,6.574
84,1.5445,6.7102
85,1.5202,6.6739
86,1.5067,6.8378
87,1.4879,6.7829
88,1.4838,6.6691
89,1.4873,6.7104
90,1.4948,6.6772
91,1.489,6.9052
92,1.4712,7.0054
93,1.455,6.8226
94,1.45,6.851
95,1.4459,6.7514
96,1.4454,6.8091
97,1.442,6.958
98,1.4366,6.8841
99,1.434,7.0191
100,1.433,7.104
101,1.4228,6.7068
102,1.4339,6.7632
103,1.4358,6.6835
104,1.4316,6.9306
105,1.4268,6.8203
106,1.4237,6.7811
107,1.4264,6.7938
108,1.4578,6.5525
109,1.4754,6.7364
110,1.4624,6.8021
111,1.4672,6.648
112,1.4753,6.7018
113,1.4854,6.6062
114,1.4927,6.6626
115,1.5212,6.5701
116,1.5206,6.752
117,1.5339,6.4305
118,1.5318,6.7164
119,1.4958,6.858
120,1.4792,6.7863
121,1.4697,6.9367
122,1.4536,6.861
123,1.4508,6.7858
124,1.4548,6.7283
125,1.4908,6.5725
126,1.492,6.7342
127,1.4697,6.8832
128,1.4554,6.7889
129,1.4571,6.7401
130,1.4569,6.9717
131,1.4488,6.7056
132,1.4582,6.7814
133,1.4545,6.9348
134,1.4471,6.8733
135,1.4423,6.8676
136,1.4383,6.8524
137,1.4482,6.582
138,1.464,6.7599
139,1.4521,6.8764
140,1.5353,6.4044
141,1.6464,6.4889
142,1.5948,6.6931
143,1.5376,6.7631
144,1.5101,6.696
145,1.502,6.6699
146,1.4948,6.6573
147,1.4856,6.6882
148,1.4794,6.7377
149,1.4825,6.5747
150,1.4871,6.6902
151,1.5158,6.4389
152,1.5269,6.6237
153,1.5252,6.587
154,1.5311,6.6332
155,1.5071,6.861
156,1.4855,6.7512
157,1.4735,6.8016
158,1.4679,6.9518
159,1.4756,6.623
160,1.4943,6.6636
161,1.4789,6.8176
162,1.4664,6.932
163,1.4563,6.858
164,1.5056,6.4862
165,1.548,6.6317
166,1.5245,6.7128
167,1.5014,6.8712
168,1.4807,6.7754
169,1.4703,6.9257
170,1.4608,6.926
171,1.4481,6.9446
172,1.4435,6.9935
173,1.49,6.4849
174,1.531,6.6888
