epoch,train_mae,test_mae,train_mse,test_mse
1,1.628,1.0106,4.1439,1.6487
2,0.7558,0.8134,0.9405,1.0703
3,0.7131,0.7786,0.8279,0.9844
4,0.6872,0.765,0.7701,0.9477
5,0.6668,0.7527,0.7274,0.9181
6,0.6508,0.7435,0.6958,0.8996
7,0.6381,0.7394,0.6714,0.889
8,0.6279,0.7347,0.6523,0.8838
9,0.6197,0.7333,0.6372,0.8843
10,0.613,0.7318,0.6249,0.8847
11,0.6072,0.728,0.6146,0.8795
12,0.5855,0.7237,0.5712,0.8655
13,0.583,0.7247,0.5659,0.8685
14,0.582,0.7236,0.5638,0.8656
15,0.5811,0.7235,0.5621,0.8652
16,0.5802,0.7236,0.5605,0.8658
17,0.5794,0.7227,0.5589,0.8647
18,0.5786,0.7221,0.5575,0.8639
19,0.5778,0.723,0.5561,0.865
20,0.5771,0.7221,0.5546,0.8636
21,0.5762,0.7227,0.5532,0.8651
22,0.5756,0.722,0.5519,0.8633
23,0.5749,0.7222,0.5507,0.8634
24,0.5743,0.7222,0.5496,0.8636
25,0.5735,0.7228,0.5484,0.8647
26,0.573,0.7225,0.5472,0.8648
27,0.5724,0.7224,0.5461,0.8653
28,0.5717,0.7223,0.5449,0.8649
29,0.5711,0.7221,0.5439,0.8651
30,0.5705,0.7217,0.5429,0.8652
31,0.5699,0.7218,0.5418,0.8648
32,0.5647,0.7219,0.532,0.865
33,0.5643,0.7221,0.5312,0.8651
34,0.5642,0.7222,0.5309,0.8653
35,0.5641,0.7222,0.5307,0.8653
36,0.564,0.7222,0.5305,0.8653
37,0.5639,0.7222,0.5304,0.8653
38,0.5639,0.7222,0.5303,0.8653
39,0.5638,0.7222,0.5302,0.8653
40,0.5638,0.7222,0.5301,0.8653
41,0.5637,0.7222,0.53,0.8653
42,0.5637,0.7222,0.5299,0.8653
43,0.5636,0.7222,0.5298,0.8654
44,0.5635,0.7222,0.5297,0.8653
45,0.5635,0.7222,0.5296,0.8652
46,0.5634,0.7222,0.5295,0.8653
47,0.5634,0.7222,0.5294,0.8652
48,0.5633,0.7221,0.5293,0.8652
49,0.5633,0.7221,0.5292,0.8652
50,0.5632,0.7221,0.5291,0.8652
51,0.5632,0.7221,0.529,0.8652
52,0.5631,0.7221,0.5289,0.8651
53,0.5631,0.7221,0.5288,0.8652
54,0.563,0.7221,0.5287,0.8652
55,0.563,0.7221,0.5287,0.8652
56,0.5629,0.7221,0.5286,0.8653
57,0.5629,0.7221,0.5285,0.8653
58,0.5628,0.7221,0.5284,0.8652
59,0.5628,0.7221,0.5283,0.8653
60,0.5627,0.7221,0.5282,0.8653
