epoch,train_mae,test_mae
1,2.5814,2.6121
2,2.5814,2.6121
3,2.5755,2.368
4,1.4248,1.5566
5,0.9643,1.1835
6,0.8337,1.0094
7,0.7813,0.9172
8,0.7545,0.8664
9,0.7384,0.8356
10,0.7273,0.8159
11,0.7189,0.8024
12,0.7121,0.7926
13,0.7065,0.7854
14,0.7017,0.7782
15,0.6972,0.7734
16,0.6929,0.7693
17,0.6892,0.7661
18,0.6855,0.7626
19,0.682,0.7594
20,0.6787,0.7577
21,0.6754,0.7555
22,0.6723,0.7533
23,0.6692,0.7499
24,0.6664,0.7485
25,0.6637,0.7462
26,0.6609,0.7445
27,0.6584,0.7427
28,0.656,0.7412
29,0.6536,0.7399
30,0.6515,0.7377
31,0.6492,0.7368
32,0.6473,0.7348
33,0.6453,0.734
34,0.6435,0.7328
35,0.6416,0.7314
36,0.6399,0.7308
37,0.6384,0.7297
38,0.6367,0.7287
39,0.6354,0.7268
40,0.634,0.7262
41,0.6326,0.7255
42,0.6313,0.725
43,0.6301,0.7236
44,0.6288,0.7227
45,0.6278,0.7217
46,0.6269,0.7213
47,0.6257,0.7204
48,0.6247,0.7199
49,0.6237,0.7193
50,0.6229,0.7179
51,0.622,0.718
52,0.6213,0.7185
53,0.6204,0.7173
54,0.6197,0.7168
55,0.619,0.7169
56,0.6184,0.7166
57,0.6177,0.7157
58,0.617,0.7152
59,0.6163,0.7149
60,0.6157,0.7152
61,0.6151,0.7143
62,0.6145,0.7141
63,0.6141,0.7131
64,0.6135,0.7143
65,0.6129,0.713
66,0.6125,0.7138
67,0.6121,0.7133
68,0.6116,0.713
69,0.6111,0.7138
70,0.6107,0.7138
71,0.6104,0.7133
72,0.6099,0.713
73,0.6096,0.7128
74,0.6091,0.7128
75,0.6088,0.713
76,0.6084,0.7129
77,0.6081,0.7114
78,0.6077,0.7117
79,0.6075,0.7114
80,0.607,0.7114
81,0.6067,0.7121
82,0.6066,0.7124
83,0.6062,0.7119
84,0.6058,0.7127
85,0.6055,0.7121
86,0.6055,0.7122
87,0.6051,0.7124
88,0.6049,0.7121
89,0.6046,0.7124
90,0.6044,0.7118
91,0.6042,0.7126
92,0.6038,0.7127
93,0.6035,0.7118
94,0.6035,0.712
95,0.6033,0.7119
96,0.603,0.7121
97,0.6029,0.7115
98,0.6026,0.7115
99,0.6024,0.7116
100,0.6021,0.7115
101,0.602,0.7127
102,0.6019,0.712
103,0.6018,0.7123
104,0.6014,0.7123
105,0.6012,0.712
106,0.6011,0.7116
107,0.6009,0.7118
108,0.6008,0.7117
109,0.6007,0.7124
110,0.6007,0.7114
111,0.6004,0.7123
112,0.6001,0.7117
113,0.6002,0.7123
114,0.5999,0.7117
115,0.5998,0.7118
116,0.5996,0.7119
117,0.5995,0.7124
118,0.5993,0.7121
119,0.5993,0.7127
120,0.5991,0.7111
121,0.5989,0.712
122,0.5988,0.7117
123,0.5986,0.712
124,0.5986,0.7116
125,0.5984,0.7122
126,0.5984,0.7122
127,0.5983,0.7121
128,0.5982,0.7124
129,0.5979,0.7122
130,0.598,0.7119
131,0.5978,0.7124
132,0.5977,0.7123
133,0.5975,0.7119
134,0.5975,0.7121
135,0.5973,0.7134
136,0.5973,0.7122
137,0.5972,0.7122
138,0.597,0.7123
139,0.5971,0.7123
140,0.597,0.7125
141,0.5969,0.7129
142,0.5968,0.7131
143,0.5967,0.7128
144,0.5966,0.7128
145,0.5964,0.7124
146,0.5964,0.7127
147,0.5964,0.7126
148,0.5962,0.7124
149,0.5961,0.7133
150,0.5962,0.7128
151,0.5959,0.7133
152,0.596,0.7127
153,0.5959,0.7131
154,0.5957,0.7138
155,0.5956,0.7133
156,0.5956,0.7129
157,0.5956,0.714
158,0.5955,0.713
159,0.5955,0.7128
160,0.5953,0.7138
161,0.5952,0.7132
162,0.5952,0.7132
163,0.5952,0.7125
164,0.5952,0.7135
165,0.5949,0.7139
166,0.5951,0.7133
167,0.5948,0.7134
168,0.5948,0.7141
169,0.5948,0.7133
170,0.5948,0.7139
171,0.5947,0.7132
172,0.5946,0.7142
173,0.5944,0.7145
174,0.5946,0.7136
175,0.5944,0.7142
176,0.5942,0.7145
177,0.5942,0.7133
178,0.5942,0.713
179,0.5942,0.7144
180,0.5942,0.7148
181,0.5941,0.7139
182,0.594,0.7148
183,0.594,0.7146
184,0.5939,0.7152
185,0.5939,0.7143
186,0.5938,0.7144
187,0.5938,0.715
188,0.5937,0.7148
189,0.5937,0.7148
190,0.5937,0.715
191,0.5936,0.7152
192,0.5935,0.7153
193,0.5935,0.7149
194,0.5935,0.715
195,0.5934,0.7157
196,0.5935,0.7144
197,0.5933,0.7154
198,0.5932,0.7152
199,0.5932,0.7148
200,0.5932,0.7155
201,0.5933,0.7153
202,0.5931,0.7155
203,0.5931,0.7161
204,0.593,0.7151
205,0.593,0.7152
206,0.5929,0.7159
207,0.593,0.716
208,0.5929,0.7159
209,0.5929,0.7161
210,0.5928,0.7154
211,0.5928,0.7159
212,0.5927,0.7158
213,0.5927,0.7157
214,0.5926,0.7163
215,0.5927,0.7154
216,0.5925,0.7161
217,0.5925,0.7161
218,0.5925,0.7158
219,0.5925,0.7164
220,0.5926,0.7162
221,0.5923,0.7163
222,0.5924,0.7168
223,0.5924,0.7159
224,0.5922,0.7163
225,0.5922,0.717
226,0.5922,0.7166
227,0.5922,0.7164
228,0.5922,0.7172
229,0.5922,0.7175
230,0.5922,0.7162
231,0.5921,0.7167
232,0.592,0.7172
233,0.5921,0.7169
234,0.5918,0.7179
235,0.5919,0.7175
236,0.5919,0.7175
237,0.5918,0.7175
238,0.5919,0.7176
239,0.5917,0.7174
240,0.5918,0.7179
241,0.5916,0.7176
242,0.5916,0.7174
243,0.5917,0.7174
244,0.5916,0.7179
245,0.5917,0.7181
246,0.5915,0.7179
247,0.5916,0.7178
248,0.5915,0.718
249,0.5915,0.7178
250,0.5914,0.7175
