epoch,train_mae,test_mae,train_mse,test_mse
1,1.634,1.015,4.1687,1.6634
2,0.7585,0.8111,0.9464,1.0573
3,0.7207,0.7761,0.8446,0.9735
4,0.7012,0.7645,0.7993,0.9429
5,0.6862,0.7548,0.7672,0.9224
6,0.6743,0.7483,0.7432,0.9093
7,0.6647,0.7423,0.7243,0.8923
8,0.6571,0.7334,0.7095,0.8779
9,0.6513,0.7276,0.6984,0.8663
10,0.6466,0.7284,0.6896,0.8652
11,0.643,0.7233,0.6823,0.8613
12,0.6253,0.7201,0.6448,0.8509
13,0.623,0.719,0.6396,0.8479
14,0.6222,0.7186,0.6378,0.8484
15,0.6216,0.7185,0.6366,0.8479
16,0.621,0.7186,0.6354,0.8481
17,0.6204,0.7175,0.6344,0.8474
18,0.6199,0.7182,0.6333,0.8475
19,0.6194,0.7179,0.6322,0.8457
20,0.6189,0.7178,0.6312,0.8469
21,0.6184,0.7173,0.6304,0.8464
22,0.6178,0.7177,0.6294,0.8472
23,0.6174,0.7171,0.6285,0.845
24,0.6169,0.7174,0.6276,0.847
25,0.6165,0.7174,0.6268,0.8468
26,0.6161,0.717,0.626,0.8454
27,0.6157,0.7161,0.6252,0.8455
28,0.6153,0.7162,0.6245,0.8452
29,0.6149,0.7169,0.6236,0.8465
30,0.6145,0.7175,0.6229,0.847
31,0.6142,0.7166,0.6223,0.8463
32,0.6098,0.7161,0.6133,0.8454
33,0.6094,0.7159,0.6124,0.8451
34,0.6092,0.7158,0.6121,0.8449
35,0.6091,0.7159,0.6119,0.8449
36,0.6091,0.7158,0.6118,0.8448
37,0.609,0.7158,0.6117,0.8447
38,0.609,0.7158,0.6116,0.8447
39,0.6089,0.7158,0.6115,0.8447
40,0.6089,0.7158,0.6115,0.8446
41,0.6088,0.7158,0.6114,0.8447
42,0.6088,0.7158,0.6113,0.8446
43,0.6088,0.7157,0.6112,0.8446
44,0.6087,0.7157,0.6112,0.8446
45,0.6087,0.7158,0.6111,0.8447
46,0.6087,0.7158,0.611,0.8447
47,0.6086,0.7157,0.611,0.8447
48,0.6086,0.7158,0.6109,0.8447
49,0.6086,0.7157,0.6108,0.8447
50,0.6085,0.7157,0.6108,0.8447
51,0.6085,0.7158,0.6107,0.8447
52,0.6085,0.7157,0.6106,0.8447
53,0.6084,0.7157,0.6106,0.8447
54,0.6084,0.7157,0.6105,0.8447
55,0.6084,0.7157,0.6104,0.8447
56,0.6083,0.7157,0.6104,0.8446
57,0.6083,0.7157,0.6103,0.8446
58,0.6083,0.7157,0.6103,0.8446
59,0.6082,0.7157,0.6102,0.8447
60,0.6082,0.7157,0.6101,0.8447
